
### Request header
###	request=datos
###	timeStart=2026-01-20
###	timeEnd=2026-05-05
###	seriesId=39718
###	siteCode=7396
###	varId=2
###	format=csv
### Response header
###	responseTimestamp=2026-05-04T10:23:56
###	sitecode=7396
###	seriesid=39718
###	seriesId=39718
###	seriesmetadata=procId:1,varId:2,var_abrev:altura,unit_abrev:m,seriesId:39718,unitId:11,proc_abrev:medicion
###	sitemetadata=geom:coordinates:-62.10138889,-38.89583333,type:Point,estacion_abrev:null,redId:23,siteCode:7396,red_name:Mareógrafos SHN
###	timeStart=20260120T000000
###	request=datos
###	timeEnd=20260505T000000
###	queryUrl=request=datos&timeStart=2026-01-20&timeEnd=2026-05-05&seriesId=39718&siteCode=7396&varId=2&format=csv
###	creationTime=2026-05-04T10:23:56-03:00

### obs_id,timestart,timeend,valor,timeupdate
27333647316,2026-03-20 09:45:00,2026-03-20 09:45:00,3.64,2026-03-20 11:00:19.668037
27334025720,2026-03-20 10:45:00,2026-03-20 10:45:00,3.08,2026-03-20 12:00:19.747958
27334403648,2026-03-20 11:45:00,2026-03-20 11:45:00,2.15,2026-03-20 13:00:21.001457
27334774750,2026-03-20 12:45:00,2026-03-20 12:45:00,1.24,2026-03-20 14:00:17.953229
27335145847,2026-03-20 13:45:00,2026-03-20 13:45:00,0.83,2026-03-20 15:00:18.147653
27335517301,2026-03-20 14:45:00,2026-03-20 14:45:00,1.18,2026-03-20 16:00:16.715676
27335888303,2026-03-20 15:45:00,2026-03-20 15:45:00,2.19,2026-03-20 17:00:17.37942
27336267285,2026-03-20 16:45:00,2026-03-20 16:45:00,3.13,2026-03-20 18:00:26.162382
27336644177,2026-03-20 17:45:00,2026-03-20 17:45:00,3.75,2026-03-20 19:00:16.518691
27337015658,2026-03-20 18:45:00,2026-03-20 18:45:00,3.98,2026-03-20 20:00:17.387324
27337386038,2026-03-20 19:45:00,2026-03-20 19:45:00,4.04,2026-03-20 21:00:17.654361
